exp_name,ckpt,readout,pooling,mean_gated_gap,gap_pulsating,pr_auc_pulsating,gap_eb,pr_auc_eb,gap_rotation,pr_auc_rotation,gap_transit,pr_auc_transit
exp03_fb0p05_b0p3_lpsd,best_recon_aux,mlp,window_score,0.07463699830737514,-0.0190378303947251,0.7778520113929983,0.1118420175663246,0.7907942427354603,0.1311068077505259,0.5697612300563439,0.0720499736206273,0.2218562536650663
exp03_fb0p05_b0p3_lpsd,best,mlp,window_score,0.0659194103854232,-0.0263817624626192,0.7705080793251042,0.0968978826258254,0.7758501077949611,0.1272421109930634,0.5658965332988815,0.0411557156821406,0.1909619957265796
exp03_fb0p02_b0p1_lpsd,best_recon_aux,mlp,mean,0.0643309436742177,0.0021478906962062,0.8135639781885837,0.0773052741841149,0.7737086149269589,0.113539666142332,0.5142826741739406,0.0940802019458049,0.2159191204860177
exp03_fb0p02_b0p1_lpsd,best,mlp,mean,0.0643309436742177,0.0021478906962062,0.8135639781885837,0.0773052741841149,0.7737086149269589,0.113539666142332,0.5142826741739406,0.0940802019458049,0.2159191204860177
exp03_fb0p1_b0p1_lpsd,best,mlp,window_score,0.0633513341068412,-0.0196610236349972,0.7772288181527263,0.0961174589679957,0.7750696841371314,0.1135975669875251,0.5522519892933432,0.0499799137800909,0.1997861938245299
exp03_fb0p02_b1p0_lpsd,best,mlp,window_score,0.059917742615959634,-0.0013593363613424,0.795530505426381,0.0788436063428196,0.7577958315119553,0.1022689578664017,0.5409233801722197,0.0422564513489935,0.1920627313934325
exp03_fb0p1_b0p1_lpsd,best_recon_aux,mlp,window_score,0.0586218130485174,-0.015430331548461,0.7814595102392624,0.089282652600753,0.7682348777698887,0.1020131180932602,0.5406675403990783,0.0633034188781578,0.2131096989225968
exp03_fb0p02_b0p1_lpsd,best_recon_aux,mlp,window_score,0.05656532034250613,-0.0175767531934518,0.7793130885942716,0.070447352669416,0.7493995778385517,0.1168253615515542,0.5554797838573723,0.0703440206385354,0.2201503006829744
exp03_fb0p02_b0p1_lpsd,best,mlp,window_score,0.05656532034250613,-0.0175767531934518,0.7793130885942716,0.070447352669416,0.7493995778385517,0.1168253615515542,0.5554797838573723,0.0703440206385354,0.2201503006829744
exp03_fb0p02_b1p0_lpsd,best_recon_aux,mlp,mean,0.05604556419087244,-0.0159585998575372,0.7954574876348403,0.0835515029986043,0.7799548437414483,0.1005437894315502,0.5012867974631587,0.0967938454726045,0.2186327640128173
exp03_fb0p1_b0p3_none,best,mlp,window_score,0.0546096093066022,-0.0111494447228163,0.7857403970649072,0.0547799743526983,0.733732199521834,0.1201982982899246,0.5588527205957426,0.021614825171092,0.171421105215531
exp03_fb0p05_b0p3_lpsd,best,mlp,mean,0.05421378231480097,0.0066369862267136,0.8180530737190911,0.0685208202966316,0.7649241610394756,0.0874835404210577,0.4882265484526663,0.1040365071088901,0.2258754256491029
exp03_fb0p05_b0p3_lpsd,best_recon_aux,mlp,mean,0.050979587038593864,-0.0065238524734272,0.8048922350189502,0.0511352180602929,0.7475385588031369,0.1083273955289159,0.5090704035605245,0.0972650013991892,0.219103919939402
exp03_fb0p02_b0p1_lpsd,best,gbm,max,0.050686441468508,0.0394088430922994,0.8352131533014959,0.0399497345347918,0.8048457220559512,0.0727007467784328,0.5598167866444825,0.0739205504129586,0.2369470680663149
exp03_fb0p02_b0p1_lpsd,best_recon_aux,gbm,max,0.050686441468508,0.0394088430922994,0.8352131533014959,0.0399497345347918,0.8048457220559512,0.0727007467784328,0.5598167866444825,0.0739205504129586,0.2369470680663149
exp03_fb0p1_b0p1_lpsd,best_recon_aux,gbm,window_score,0.05061904931433033,0.100524270179551,0.8458261562112701,0.0095237101068647,0.7505092059854717,0.0418091676565753,0.5483176613309393,0.0317710503427744,0.1667293514697316
exp03_fb0p02_b0p1_lpsd,best,logistic,window_score,0.0504320700391358,0.0134473088972244,0.7477336526959266,0.1227639012772927,0.7409816075384207,0.0150849999428903,0.5190786172206718,0.0457137422208874,0.1277878137440639
exp03_fb0p02_b0p1_lpsd,best_recon_aux,logistic,window_score,0.0504320700391358,0.0134473088972244,0.7477336526959266,0.1227639012772927,0.7409816075384207,0.0150849999428903,0.5190786172206718,0.0457137422208874,0.1277878137440639
exp03_fb0p02_b1p0_lpsd,best,mlp,mean,0.05017221588943437,0.0011273393491841,0.8125434268415617,0.0396286941953927,0.7360320349382367,0.1097606141237263,0.5105036221553348,0.059959306263356,0.1817982248035688
exp03_fb0_b0p1_comb,best,mlp,mean,0.04940063557037227,-0.0243707901094841,0.7870452973828933,0.0495621760722857,0.7459655168151297,0.1230105207483152,0.5237535287799238,0.0279413559935574,0.1497802745337702
exp03_fb0_b0p1_comb,best_recon_aux,gbm,max,0.048349793723609334,0.0285901440064746,0.8243944542156711,0.0348742719358106,0.7997702594569699,0.0815849652285428,0.5687010050945925,0.0792369191207046,0.2422634367740609
exp03_fb0p02_b0p1_lpsd,best,logistic,mean,0.04821682569290097,0.0546979934820281,0.822181531433348,0.0611061380639563,0.773693955284275,0.0288463455327185,0.5605820624794243,0.0359397381203745,0.116517680693071
exp03_fb0p02_b0p1_lpsd,best_recon_aux,logistic,mean,0.04821682569290097,0.0546979934820281,0.822181531433348,0.0611061380639563,0.773693955284275,0.0288463455327185,0.5605820624794243,0.0359397381203745,0.116517680693071
exp03_fb0_b0p1_comb,best,logistic,quantile,0.047245876182414936,0.0309454163511879,0.8031323061298706,0.023423145869108,0.7086446490842867,0.0873690663269489,0.5391843919215314,0.0278562561086328,0.1189720568904377
exp03_fb0p02_b1p0_lpsd,best_recon_aux,mlp,window_score,0.04715508275906697,0.0067330020581984,0.803622843845922,0.0506986835647669,0.7296509087339026,0.0840335626542356,0.5226879849600536,0.0599580861377082,0.2097643661821472
exp03_fb0_b0p1_comb,best_recon_aux,mlp,window_score,0.046932219324480266,-0.0314622858017686,0.7654275559859548,0.0601491830872483,0.739101408256384,0.1121097606879611,0.5507641829937792,0.017436704979527,0.167242985023966
exp03_fb0_b0p1_comb,best,gbm,window_score,0.04626504442817194,0.0585060353104527,0.8038079213421718,0.0433764986421124,0.7843619945207194,0.0369125993319507,0.5434210930063147,0.0478852100535556,0.1828435111805128
exp03_fb0p1_b0p1_lpsd,best,gbm,window_score,0.04603350510163153,0.0852733720398432,0.8305752580715623,0.0091127833285931,0.7500982792072001,0.0437143599364583,0.5502228536108222,0.0520005617995028,0.18695886292646
exp03_fb0p1_b1p0_none,best_recon_aux,mlp,window_score,0.04602041870876236,-0.0277401445344879,0.7691496972532356,0.0697550901173004,0.7487073152864361,0.0960463105434746,0.5347007328492926,0.0112973145598522,0.1611035946042912
exp03_fb0_b0p1_comb,best,mlp,window_score,0.04592607787334949,-0.0546992412452802,0.7421906005424432,0.0689533521114924,0.7479055772806281,0.1235241227538363,0.5621785450596544,0.0013832759703233,0.1511895560147623
exp03_fb0p1_b1p0_none,best,mlp,window_score,0.045668677027642705,-0.0168319860591549,0.7800578557285686,0.0766265350295657,0.7555787601987014,0.0772114821125173,0.5158659044183354,0.0244629177877921,0.1742691978322311
exp03_fb0_b0p1_comb,best_recon_aux,logistic,mean,0.045176597738349804,0.0540278054583137,0.8215113434096336,0.0655571012673096,0.7781449184876282,0.0159448864894261,0.5476806034361319,0.0607722372718775,0.141350179844574
exp03_fb0_b0p3_lpsd,best,gbm,window_score,0.04479560244704416,0.0710876505832844,0.8163895366150036,0.0156440274038628,0.7566295232824698,0.0476551293539853,0.5541636230283492,0.0226629980638866,0.1576212991908438
exp03_fb0p1_b0p1_lpsd,best,mlp,mean,0.0447896824201463,0.0141586567003335,0.825574744192711,-0.004777720229866,0.6916256205129779,0.1249881107899714,0.52573111882158,0.0215207794378357,0.1433596979780485
exp03_fb0p1_b0p1_lpsd,best_recon_aux,mlp,mean,0.04379582413894267,0.0307414743732146,0.8421575618655921,0.0004431724922099,0.6968465132350539,0.1002028255514035,0.500945833583012,0.0566778431839153,0.1785167617241281
exp03_fb0_b0p3_lpsd,best_recon_aux,gbm,window_score,0.04376276191394807,0.059107810250876,0.8044096962825952,0.0170390786097891,0.7580245744883961,0.0551413968811791,0.561649890555543,0.0040329784455943,0.1389912795725515
exp03_fb0_b0p1_comb,best_recon_aux,gbm,window_score,0.0436738732282633,0.0279220591164787,0.7732239451481978,0.034771150564243,0.77575664644285,0.0683284100040682,0.5748369036784321,0.0907618632320405,0.2257201643589977
exp03_fb0_b0p1_comb,best_recon_aux,logistic,window_score,0.043509675027196194,-0.0020008460805246,0.7322854977181775,0.0973345688995683,0.7155522751606963,0.0351953022625449,0.5391889195403264,0.0720049953788845,0.154079066902061
exp03_fb0p1_b0p1_lpsd,best_recon_aux,logistic,window_score,0.0429524866083545,-0.0037479301439362,0.7305384136547659,0.0987623263282512,0.7169800325893791,0.0338430636407485,0.53783668091853,0.0532618146163727,0.1353358861395491
exp03_fb0p02_b1p0_lpsd,best,mlp,max,0.04253914842552283,-0.0111686907799688,0.7987633441947585,-0.0105274112531847,0.7011878132327655,0.149313547309722,0.5289267380670098,0.0555741099160672,0.201342130942769
exp03_fb0p05_b0p3_lpsd,best_recon_aux,gbm,window_score,0.0424591234493261,0.0803636801940318,0.8256655662257509,0.0064688945220729,0.74745439040068,0.0405447956318736,0.5470532893062375,0.0541149360613242,0.1890732371882814
exp03_fb0p05_b0p3_lpsd,best_recon_aux,logistic,mean,0.04194024241204603,0.029134844457345,0.7966183824086649,0.0523868463824666,0.7649746636027852,0.0442990363963265,0.5760347533430323,0.0428288968217458,0.1234068393944423
exp03_fb0p1_b0p3_none,best_recon_aux,mlp,window_score,0.0417027368999934,-0.0384150758053192,0.7584747659824043,0.0712941873014033,0.750246412470539,0.0922290992038961,0.5308835215097142,0.0158898612780929,0.1656961413225319
exp03_fb0p02_b1p0_lpsd,best_recon_aux,mlp,quantile,0.04109480894695194,-0.0067054946055982,0.8239962406368775,0.0360580600399931,0.7263845120118748,0.0939318614064609,0.5196198617993038,0.0778523295803192,0.1787301350384882
exp03_fb0_b0p3_lpsd,best_recon_aux,gbm,quantile,0.0410076550772705,0.0419874956854149,0.8372982259157442,0.0285050745061412,0.758838225516648,0.0525303950402554,0.5707219467203022,0.0239380767201225,0.1703387874093185
exp03_fb0p05_b0p3_lpsd,best,logistic,mean,0.04048412741251906,0.0228691335631903,0.7903526715145102,0.0569488672391204,0.769536684459439,0.0416343814352465,0.5733700983819523,0.0438609617613053,0.1244389043340018
exp03_fb0p05_b0p3_lpsd,best,logistic,window_score,0.04024873146817173,0.0078044343632218,0.742090778161924,0.0785188620110738,0.6967365682722018,0.0344228980302196,0.5384165153080012,0.0588688088898602,0.1409428804130366
exp03_fb0p05_b0p3_lpsd,best_recon_aux,logistic,window_score,0.04006199482934943,0.0031473299921733,0.7374336737908755,0.0874996478063389,0.7057173540674668,0.0295390066895361,0.5335326239673176,0.0825734124766951,0.1646474839998715
exp03_fb0p1_b0p1_lpsd,best,logistic,mean,0.03985210133025337,0.013305471484748,0.7807890094360679,0.0632918583229864,0.7758796755433051,0.0429589741830257,0.5746946911297315,0.0546700724658603,0.1352480150385568
exp03_fb0p1_b0p1_lpsd,best,logistic,window_score,0.039131775114788735,-0.0007458657933738,0.7335404780053283,0.0934912440262047,0.7117089502873327,0.0246499471115353,0.5286435643893168,0.0732048788340292,0.1552789503572056
exp03_fb0_b0p3_lpsd,best,gbm,mean,0.03895706502880087,0.009672228712179,0.8338537601211351,0.0276155573111901,0.7591105233322357,0.0795834090630335,0.5859964852359805,0.025761630463204,0.1578690206638766
exp03_fb0_b0p1_comb,best_recon_aux,logistic,quantile,0.03880595257598727,0.0468054315450889,0.8189923213237716,0.0434791165560156,0.7287006197711943,0.0261333096268573,0.4779486352214398,0.0742619513347363,0.1653777521165412
exp03_fb0p05_b0p3_lpsd,best,gbm,window_score,0.03871489441042773,0.0793552092281469,0.8246570952598661,0.0172200090200586,0.7582055048986656,0.0195694649830777,0.5260779586574417,0.0337903523048809,0.1687486534318381
exp03_fb0p1_b0p1_lpsd,best_recon_aux,logistic,mean,0.0383859718809998,0.0085147803852716,0.7759983183365915,0.0654379322371503,0.7780257494574689,0.0412052030205775,0.5729409199672832,0.0506074775704685,0.131185420143165
exp03_fb0p02_b0p1_lpsd,best_recon_aux,gbm,window_score,0.0380192070665348,0.0452195067553501,0.7905213927870692,0.0308998250772034,0.7718853209558104,0.0379382893670509,0.5444467830414148,0.0250511389646748,0.1600094400916321
exp03_fb0p02_b0p1_lpsd,best,gbm,window_score,0.0380192070665348,0.0452195067553501,0.7905213927870692,0.0308998250772034,0.7718853209558104,0.0379382893670509,0.5444467830414148,0.0250511389646748,0.1600094400916321
exp03_fb0p02_b1p0_lpsd,best_recon_aux,gbm,quantile,0.037958792088041364,0.0576164775335014,0.8529272077638307,0.0153097719648573,0.7456429229753642,0.0409501267657654,0.5591416784458122,0.020669306408834,0.16707001709803
exp03_fb0_b0p3_lpsd,best_recon_aux,mlp,window_score,0.037522929461604,-0.0738058978485556,0.7230839439391679,0.0646107031620952,0.7435629283312309,0.1217639830712724,0.5604184053770904,0.016818219466363,0.166624499510802
exp03_fb0p1_b0p3_none,best_recon_aux,logistic,mean,0.03733372974723074,0.0364388011488898,0.8039223391002097,0.0591283884779214,0.7717162056982401,0.016433999614881,0.5481697165615868,0.0319911746328327,0.1125691172055292
exp03_fb0p02_b1p0_lpsd,best,gbm,quantile,0.036871441789047305,0.052308161456301,0.8476188916866303,0.013764885556573,0.7440980365670798,0.0445412783542679,0.5627328300343146,0.012839851561948,0.159240562251144
exp03_fb0_b0p1_comb,best,gbm,mean,0.03686696863017926,-0.0219684442089647,0.8022130871999913,0.0537536349507006,0.7852486009717462,0.0788157151488019,0.5852287913217489,0.0257145903584409,0.1578219805591135
exp03_fb0p02_b1p0_lpsd,best,gbm,max,0.036542019825318135,0.0176463227909952,0.8134506330001917,0.0151628780874311,0.7800588656085904,0.0768168585975281,0.5639328984635779,0.0703212510091074,0.2333477686624637
exp03_fb0p1_b1p0_lpsd,best_recon_aux,logistic,mean,0.036074955906114196,0.018026894219895,0.7855104321712149,0.0520390736755448,0.7646268908958634,0.0381588998229028,0.5698946167696086,0.0493887339069551,0.1299666764796516
exp03_fb0p1_b0p3_none,best_recon_aux,logistic,window_score,0.033926803409911464,0.0094376543859487,0.743723998184651,0.0865181560503651,0.7047358623114931,0.0058245997934206,0.5098182170712021,0.0480120492754782,0.1300861207986546
exp03_fb0p05_b0p3_lpsd,best,mlp,max,0.032479438425195434,0.0199544017831722,0.8298864367578995,-0.0062763627002637,0.7054388617856865,0.0837602761926778,0.4633734669499656,0.0178809533553391,0.1636489743820409
exp03_fb0_b0p1_lpsd,best_recon_aux,gbm,mean,0.0321591917798833,-0.0209429442638398,0.8032385871451162,0.0524950619645445,0.7839900279855901,0.0649254576389452,0.5713385338118921,0.0494369702762565,0.1815443604769291
exp03_fb0p1_b0p1_none,best,logistic,mean,0.0316534077910428,-0.0027897784650545,0.7646937594862653,0.0594926117967332,0.7720804290170519,0.0382573900414497,0.5699931069881555,0.0333526294665747,0.1139305720392712
exp03_fb0p1_b0p1_none,best_recon_aux,logistic,mean,0.0316534077910428,-0.0027897784650545,0.7646937594862653,0.0594926117967332,0.7720804290170519,0.0382573900414497,0.5699931069881555,0.0333526294665747,0.1139305720392712
exp03_fb0_b0p3_lpsd,best,mlp,window_score,0.0312495946795181,-0.0535421474643215,0.743347694323402,0.0557589548974402,0.7347111800665759,0.0915319766054356,0.5301863989112536,-0.0127653086212933,0.1370409714231456
exp03_fb0p1_b1p0_comb,best_recon_aux,logistic,mean,0.030844995213829034,0.0217832527920561,0.789266790743376,0.0458027027470118,0.7583905199673304,0.0249490301024192,0.556684747049125,0.0329373112562785,0.113515253828975
exp03_fb0p02_b0p3_comb,best_recon_aux,logistic,mean,0.030325281082907368,0.0111704362765796,0.7786539742278995,0.0594507025687164,0.772038519789035,0.0203547044034261,0.5520904213501319,0.0559843016586533,0.1365622442313498
exp03_fb0p02_b1p0_lpsd,best_recon_aux,gbm,max,0.030275295215109767,0.0372800456134373,0.8330843558226338,0.0201692618880738,0.7850652494092332,0.0333765781438182,0.5204926180098679,0.0779472093602633,0.2409737270136196
exp03_fb0p05_b0p3_comb,best,logistic,mean,0.030263471489522565,0.0273388237489109,0.7948223617002308,0.0440717068349877,0.7566595240553063,0.0193798838846691,0.5511156008313749,0.0684201860154345,0.148998128588131
exp03_fb0_b0p1_comb,best,gbm,quantile,0.03023793004309237,0.0139299669446637,0.809240697174993,0.0396859463034334,0.7700190973139402,0.03709787688118,0.5552894285612268,0.0185827647311964,0.1649834754203924
exp03_fb0_b0p1_comb,best_recon_aux,mlp,mean,0.030120164496615632,0.011868395978605,0.8232844834709825,0.0042860992829057,0.7006894400257497,0.0742059982283362,0.4749490062599448,0.0118539504918427,0.1336928690320555
exp03_fb0_b0p1_comb,best_recon_aux,gbm,quantile,0.030086922181363735,0.0401257134458838,0.8354364436762132,0.0207293497526139,0.7510625007631208,0.0294057033455935,0.5475972550256403,0.0071721546086209,0.1535728652978169
exp03_fb0p02_b1p0_lpsd,best,gbm,window_score,0.029978341698395305,0.0473818993814604,0.7926837854131795,0.0217970041448783,0.7627825000234854,0.0207561215688472,0.5272646152432111,0.0493012327942451,0.1842595339212023
exp03_fb0p05_b0p1_lpsd,best,logistic,mean,0.029922014217360002,-0.0171683435004331,0.7503151944508867,0.063548189790342,0.7761360070106607,0.0433861963621711,0.5751219133088769,0.0439861510734659,0.1245640936461624
exp03_fb0_b0p3_lpsd,best,gbm,max,0.029811926232382064,0.0037425098714902,0.7995468200806868,0.0209723802518452,0.7858683677730045,0.0647208885738108,0.5518369284398605,0.0232867523278147,0.1863132699811711
exp03_fb0p02_b0p1_comb,best,logistic,mean,0.02976299954835943,0.0234190489906923,0.7909025869420122,0.0574922221077507,0.7700800393280693,0.0083777275466353,0.5401134444933411,0.0593044575409378,0.1398824001136343
exp03_fb0p02_b0p1_comb,best_recon_aux,logistic,mean,0.02976299954835943,0.0234190489906923,0.7909025869420122,0.0574922221077507,0.7700800393280693,0.0083777275466353,0.5401134444933411,0.0593044575409378,0.1398824001136343
exp03_fb0_b0p1_comb,best,gbm,max,0.02938376482118067,0.0095417304643179,0.8053460406735145,0.0351234240011311,0.8000194115222904,0.043486139998093,0.5306021798641427,0.0701407133611565,0.2331672310145128
exp03_fb0p05_b0p3_comb,best_recon_aux,logistic,mean,0.029162379244506365,0.0159602349394307,0.7834437728907506,0.0482209873823419,0.7608088046026605,0.0233059154117465,0.5550416323584523,0.0607503594199399,0.1413283019926364
exp03_fb0p02_b0p3_comb,best,logistic,mean,0.029093242469532366,0.0124810778559765,0.7799646158072964,0.0542850355045971,0.7668728527249158,0.0205136140480235,0.5522493309947293,0.0657388459765087,0.1463167885492052
exp03_fb0p05_b0p1_none,best_recon_aux,logistic,mean,0.028935981559654,0.0141861685552912,0.781669706506611,0.0536461801942101,0.7662339974145288,0.0189755959294607,0.5507113128761665,0.0200287718214778,0.1006067143941743
exp03_fb0_b0p1_lpsd,best,gbm,mean,0.028752874733376232,-0.0176173940560322,0.8065641373529238,0.0489550677528689,0.7804500337739145,0.054920950503292,0.561334026676239,0.061654364809687,0.1937617550103596
exp03_fb0_b0p1_comb,best_recon_aux,gbm,mean,0.028563453910685033,-0.0289153215922108,0.7952662098167451,0.0432603779247836,0.7747553439458292,0.0713453053994823,0.5777583815724293,0.0577657582003337,0.1898731484010063
exp03_fb0p05_b0p3_lpsd,best,gbm,max,0.027100960297923932,-0.0021401725464637,0.7936641376627328,0.0116698186406176,0.776565806161777,0.0717732347996179,0.5588892746656676,0.0881067505175551,0.2511332681709114
exp03_fb0_b0p1_comb,best,logistic,mean,0.02690928095676957,0.0282601947395417,0.7957437326908616,0.0492636627770771,0.7618514799973958,0.0032039853536899,0.5349397023003957,0.0508052994372852,0.1313832420099817
exp03_fb0p1_b0p1_comb,best_recon_aux,logistic,mean,0.025527538409934065,-0.0021632160211916,0.7653203219301282,0.0312209797416265,0.7438087969619451,0.0475248515093673,0.5792605684560731,0.0493393739766788,0.1299173165493753
exp03_fb0p05_b1p0_lpsd,best_recon_aux,logistic,mean,0.025265606452433764,-0.0041576865194821,0.7633258514318377,0.0501557219362703,0.762743539156589,0.0297987839405131,0.5615345008872189,0.0387374394211291,0.1193153819938256
exp03_fb0_b0p1_comb,best,logistic,window_score,0.024923200336484364,-0.0176669875268496,0.7166193562718525,0.0798184905999384,0.6980361968610663,0.0126180979363643,0.5166117152141458,0.0500247344718139,0.1320988059949903
exp03_fb0p02_b0p1_comb,best,gbm,mean,0.0248957874222782,-0.0167835962979304,0.8073979351110255,0.046241771739944,0.7777367377609896,0.045229186824821,0.551642262997768,0.0454255659297795,0.1775329561304521
exp03_fb0p02_b0p1_comb,best_recon_aux,gbm,mean,0.0248957874222782,-0.0167835962979304,0.8073979351110255,0.046241771739944,0.7777367377609896,0.045229186824821,0.551642262997768,0.0454255659297795,0.1775329561304521
exp03_fb0p1_b0p3_lpsd,best,logistic,mean,0.024644686531020935,0.0185447038661883,0.7860282418175082,0.0417647232316427,0.7543525404519613,0.0136246324952318,0.5453603494419376,0.0484745398337464,0.1290524824064429
exp03_fb0p02_b1p0_lpsd,best,logistic,mean,0.023633889736905705,0.0113751812694206,0.7788587192207405,0.0422803456250614,0.75486816284538,0.0172461423162351,0.5489818592629409,0.0437427075607736,0.1243206501334701
exp03_fb0_b0p1_comb,best,mlp,quantile,0.023626476988003266,0.0018955528048578,0.8325972880473336,0.0196997967527267,0.7100262487246084,0.0492840814064253,0.4749720817992681,0.0393595231244209,0.14023732858259
exp03_fb0p02_b1p0_comb,best_recon_aux,logistic,mean,0.0236012372329254,-0.0052596844331731,0.7622238535181467,0.0481829328698227,0.7607707500901414,0.0278804632621266,0.5596161802088324,0.0387823418035398,0.1193602843762363
exp03_fb0p05_b0p3_none,best,logistic,mean,0.0235841684582513,-0.006469791497791,0.7610137464535288,0.0501930232795723,0.7627808404998909,0.0270292735929726,0.5587649905396784,0.0304546590693503,0.1110326016420468
exp03_fb0p1_b0p3_none,best,logistic,mean,0.023116103168465366,-0.0135113731194914,0.7539721648318284,0.0581058285380986,0.7706936457584173,0.0247538540867889,0.5564895710334947,0.0320651089645474,0.1126430515372439
exp03_fb0p1_b1p0_comb,best,logistic,mean,0.022577755116227966,-0.0188621484723451,0.7486213894789747,0.0432615771435894,0.7558493943639081,0.0433338366774396,0.5750695536241454,0.0490469518392531,0.1296248944119497
