exp_name,label_mode,n_seeds,star_v1_mean,star_v1_gap,star_kpcp_mean,star_kpcp_gap,win_kpcp_mean,win_kpcp_gap
exp04_enc_w2x,broadcast,2,0.16198290941075116,0.06566733433405367,0.18992362156707304,0.15525074324910074,0.0887167828228877,0.0876408694519729
exp04_enc_k9,broadcast,2,0.1597946120032941,0.0650511219005263,0.17525293498315464,0.14193153786584822,0.0953447389447294,0.0932807536628123
exp03_fb0_b0p1_comb,broadcast,3,0.15389516479399132,0.07182109327081491,0.17412055053986106,0.15289804793814765,0.09404988290139808,0.09309489724774388
exp04_fb0p01_b0p05_lpsd,broadcast,2,0.15102727300833485,0.06895320148515845,0.1740527591691933,0.1528302565674799,0.1136837396886261,0.1127287540349719
exp04_enc_d3,broadcast,2,0.15498968240542685,0.061926948268310245,0.1591956351525467,0.1207186729886939,0.0789143635189685,0.0715784115878374
exp04_fb0p02_b0p05_lpsd,broadcast,2,0.14901228636051106,0.06693821483733466,0.1589350376357287,0.1377125350340153,0.10449764559637761,0.10354265994272341
exp04_fb0p04_b0p05_lpsd,broadcast,1,0.1352241539236959,0.05315008240051951,0.1515258090553237,0.1303033064536103,0.0631251675294633,0.062170181875809104
exp04_fb0p02_b0p2_lpsd,broadcast,2,0.158255444373344,0.07618137285016759,0.1471945271346142,0.1259720245329008,0.0786603384450492,0.077705352791395
exp03_fb0p05_b0p3_lpsd,broadcast,3,0.14997785712411263,0.06790378560093623,0.14559184439479897,0.12436934179308556,0.062214013994616325,0.06125902834096213
exp04_fb0p01_b0p1_lpsd,broadcast,2,0.146408214614126,0.0643341430909496,0.14555636965850996,0.12433386705679655,0.0687153475877676,0.06776036193411339
exp04_enc_k15,broadcast,2,0.14566164669606346,0.06387218252665747,0.142253807295307,0.11699813539605002,0.05807435782621305,0.05650441226958605
exp04_winner_ep100,broadcast,1,0.1406334868073786,0.05855941528420221,0.136803031004858,0.11558052840314459,0.0349827805157151,0.0340277948620609
exp04_enc_d5,broadcast,2,0.13775434773823275,0.053142717197887254,0.1300343730419326,0.10348832720654291,0.0515239155291033,0.0505366580537262
exp04_fb0p01_b0p2_lpsd,broadcast,1,0.1306710829611987,0.048597011438022295,0.1258217132372154,0.10459921063550198,0.0551191153449,0.0541641296912458
exp04_enc_z64k9,broadcast,2,0.14432064728919713,0.050333617502958033,0.12320347319733621,0.07925410634787461,0.048716319078713,0.0385099831275651
exp04_fb0p04_b0p1_lpsd,broadcast,1,0.1221003197799226,0.040026248256746194,0.1144280597190175,0.0932055571173041,0.0295346464657428,0.0285796608120886
exp04_enc_whalf,broadcast,2,0.13262218244894125,0.03972383584964195,0.10681513695642886,0.07590099560852026,0.04575010718246415,0.04489074708061235
exp03_fb0p02_b0p1_lpsd,broadcast,3,0.13642947759484003,0.05435540607166363,0.10532549096794412,0.08410298836623073,0.061842756642852235,0.06088777098919804
exp04_enc_z64,broadcast,3,0.12722434278433928,0.03732387641169428,0.09409683243341987,0.06479149226910948,0.029835977025868265,0.026386780376984664
exp04_enc_z32,broadcast,3,0.11812728542535456,0.03035310645223356,0.08948447213328398,0.060228332459219575,0.0343135958260521,0.027039364367164097
exp04_fb0p04_b0p2_lpsd,broadcast,1,0.1175827711499093,0.03550869962673289,0.0840978851220606,0.06287538252034719,0.0263495392622223,0.025394553608568102
exp04_fb0p04_b0p05_lpsd,true,1,0.1548858795045521,0.053761628678870604,0.2032880960779389,0.1325037398286767,0.1229584691834916,0.1067425799843241
exp04_fb0p02_b0p05_lpsd,true,2,0.1506337621478422,0.04950951132216069,0.1821276860746865,0.11134332982542429,0.11669798301742734,0.10048209381825984
exp04_fb0p01_b0p05_lpsd,true,2,0.14691794015109,0.045793689325408504,0.18150828438388167,0.11072392813461947,0.12186474555546079,0.10564885635629329
exp04_enc_k15,true,2,0.14345478600489314,0.03559746721321004,0.14867140253875635,0.06110724760819165,0.0472542311168537,0.02476145793258
exp04_enc_k9,true,2,0.1464370925122905,0.0431788528664936,0.14743413605967737,0.07017233843578027,0.07212723421341564,0.04991928718942874
exp04_fb0p04_b0p2_lpsd,true,1,0.137409476590056,0.03628522576437451,0.1460429885006506,0.07525863225138839,0.0419547415485273,0.025738852349359798
exp03_fb0_b0p1_comb,true,3,0.136077171562944,0.0349529207372625,0.14369012523803004,0.07290576898876784,0.07144042350273777,0.05522453430357027
exp04_fb0p02_b0p2_lpsd,true,2,0.1416793437132034,0.040555092887521904,0.14208365181653945,0.07129929556727725,0.09662665724915309,0.08041076804998559
exp04_enc_z64k9,true,2,0.1398591526130198,0.03556523322743649,0.1415524652161878,0.056612071095127905,0.06364268593102296,0.04380814624828146
exp04_enc_w2x,true,2,0.13708200856760194,0.03441195418512144,0.1415027075816745,0.0680674922535767,0.0732060431215203,0.06179884231608421
exp04_enc_d3,true,2,0.13821466878438315,0.04174522488142256,0.13752198838595445,0.06496987317172954,0.06959205666083976,0.057196439634335156
exp04_enc_whalf,true,2,0.1284044760420553,0.029457325881680194,0.13536203162956353,0.06051387011975794,0.05258827248242295,0.041047082191252346
exp04_fb0p01_b0p2_lpsd,true,1,0.1325552078168946,0.031430956991213094,0.1348192376708012,0.064034881421539,0.0726704385454755,0.056454549346308
exp04_winner_ep100,true,1,0.1269554498399014,0.025831199014219902,0.1320714210652746,0.06128706481601241,0.0421899477791525,0.025974058579985
exp04_fb0p01_b0p1_lpsd,true,2,0.13539873993774637,0.034274489112064876,0.13140027942286575,0.06061592317360355,0.05081628679367165,0.03460039759450415
exp03_fb0p05_b0p3_lpsd,true,3,0.12617811427186118,0.025053863446179686,0.1303522226965806,0.05956786644731839,0.053583709395831035,0.037367820196663536
exp04_enc_d5,true,2,0.13923389025984984,0.027328892945348432,0.12891832375759454,0.03492752452542064,0.04277871192436715,0.02414488060687845
exp04_enc_z64,true,3,0.12459834735700681,0.026692392425281514,0.12417498699070406,0.05230763805615177,0.0507597894761829,0.038418885831415596
exp03_fb0p02_b0p1_lpsd,true,3,0.12914925699797172,0.02802500617229023,0.11680368914862481,0.04601933289936261,0.06567291200800857,0.04945702280884107
exp04_fb0p04_b0p1_lpsd,true,1,0.1255759888388624,0.0244517380131809,0.1134829019807708,0.042698545731508594,0.0649698409036363,0.048753951704468806
exp04_enc_z32,true,3,0.11467636258641105,0.015021711469076049,0.10149137339826934,0.02400551151568954,0.0376390376658551,0.023078702746607102
exp04_fb0p04_b0p05_lpsd,true_kpcp,1,0.1227361351637812,0.03432399289966749,0.1664209892348183,0.09916670631375339,0.1395965362756446,0.09565636229049812
exp04_fb0p01_b0p05_lpsd,true_kpcp,2,0.1133619732689857,0.024949831004871997,0.14137651480024274,0.07412223187917784,0.1086782549075436,0.0647380809223971
exp04_fb0p02_b0p05_lpsd,true_kpcp,2,0.11684576174969055,0.02843361948557685,0.12156832717453304,0.05431404425346814,0.1116528968503141,0.06771272286516761
exp04_enc_w2x,true_kpcp,2,0.11554348930770686,0.032341894536142266,0.11052115125978855,0.042712679575649656,0.08117812873115815,0.04884274514113745
exp04_enc_whalf,true_kpcp,2,0.1031045080258764,0.0160001268137865,0.10563890619753175,0.04152350387693014,0.07101115862124019,0.05131156181847179
exp04_enc_z64k9,true_kpcp,2,0.114380599455497,0.026067791870646895,0.10127201870321155,0.037411969777242454,0.05362414466775445,0.022621388560060147
exp04_enc_k15,true_kpcp,2,0.1083028890542979,0.0011190642975818926,0.0975790368337967,-0.0031791112058410925,0.0497443051873879,-0.020364741030381897
exp04_enc_d3,true_kpcp,2,0.10267213020646701,0.01766816589844951,0.0973220301699389,0.0538027051047913,0.081968516199196,0.06329880547700059
exp04_enc_d5,true_kpcp,2,0.1037143926674586,0.01951009916828121,0.095836321876733,0.029979048960845092,0.0727284328397836,0.0385350839175477
exp04_fb0p02_b0p2_lpsd,true_kpcp,2,0.10313568233155024,0.014723540067436536,0.090188046569698,0.0229337636486331,0.06810096880642791,0.02416079482128141
exp03_fb0p05_b0p3_lpsd,true_kpcp,3,0.09825713571067257,0.00984499344655887,0.08606334828647977,0.018809065365414865,0.05200330953122193,0.008063135546075434
exp04_enc_k9,true_kpcp,2,0.116689917262363,0.0368038799183399,0.085532247917353,0.036268602836103,0.0539788711569487,0.0262273862344248
exp03_fb0p02_b0p1_lpsd,true_kpcp,3,0.0986373190354034,0.010225176771289701,0.07916009147416453,0.011905808553099625,0.059068294726581504,0.015128120741435006
exp04_fb0p01_b0p2_lpsd,true_kpcp,1,0.1021996574397231,0.013787515175609402,0.0786424672632823,0.011388184342217403,0.0485142170820424,0.004574043096895901
exp04_enc_z32,true_kpcp,3,0.09008588204956587,0.009177103964795777,0.07826817221356637,0.015530010533644473,0.05005792605851903,0.021497777993846834
exp03_fb0_b0p1_comb,true_kpcp,3,0.09760565644389863,0.009193514179784923,0.07695684797956949,0.009702565058504586,0.042361164375115834,-0.0015790096100306641
exp04_fb0p04_b0p1_lpsd,true_kpcp,1,0.0960256157920862,0.007613473527972495,0.0752733728214074,0.008019089900342502,0.0282871061123839,-0.015653067872762598
exp04_enc_z64,true_kpcp,3,0.09012584259974872,0.009258829163243623,0.07171235040027531,0.013591283267301607,0.037198719284906,0.0122381597274787
exp04_fb0p04_b0p2_lpsd,true_kpcp,1,0.0953530702131342,0.006940927949020501,0.0668600502254416,-0.0003942326956233033,0.0445286245098247,0.000588450524678201
exp04_winner_ep100,true_kpcp,1,0.0769623450424606,-0.011449797221653096,0.0605504687344542,-0.0067038141866107015,0.0333876446678974,-0.0105525293172491
exp04_fb0p01_b0p1_lpsd,true_kpcp,2,0.0872725247965115,-0.0011396174676022025,0.05841991136615165,-0.008834371554913255,0.031076606872513547,-0.012863567112632951
